title,score
Dick Johnson Is Dead,8.3
Blood & Water,6.4
Ganglands,8.7
Jailbirds New Orleans,7.8
Kota Factory,4.5
Midnight Mass,9.4
My Little Pony: A New Generation,8.2
Sankofa,8.3
The Great British Baking Show,4.7
The Starling,6.5
"Vendetta: Truth, Lies and The Mafia",6.0
Bangkok Breaking,9.1
Je Suis Karl,7.5
Confessions of an Invisible Girl,8.5
Crime Stories: India Detectives,6.4
Dear White People,5.2
Europe's Most Dangerous Man: Otto Skorzeny in Spain,7.1
Falsa identidad,4.4
Intrusion,8.6
Jaguar,7.5
Monsters Inside: The 24 Faces of Billy Milligan,8.2
Resurrection: Ertugrul,5.9
Avvai Shanmughi,9.3
Go! Go! Cory Carson: Chrissy Takes the Wheel,8.9
Jeans,8.3
Love on the Spectrum,5.1
Minsara Kanavu,6.6
Grown Ups,4.2
Dark Skies,4.8
Paranoia,7.8
Ankahi Kahaniya,8.1
Chicago Party Aunt,9.3
Sex Education,5.8
Squid Game,6.0
Tayo and Little Wizards,6.6
The Father Who Moves Mountains,5.0
The Stronghold,4.7
Angry Birds,6.6
Birth of the Dragon,5.2
Chhota Bheem,7.7
He-Man and the Masters of the Universe,6.4
Jaws,8.6
Jaws 2,7.9
Jaws 3,5.7
Jaws: The Revenge,8.6
My Heroes Were Cowboys,8.4
Safe House,6.1
The Smart Money Woman,5.6
Training Day,7.8
Castle and Castle,4.8
Dharmakshetra,5.1
InuYasha the Movie 2: The Castle Beyond the Looking Glass,4.0
InuYasha the Movie 3: Swords of an Honorable Ruler,8.3
InuYasha the Movie 4: Fire on the Mystic Island,7.7
InuYasha the Movie: Affections Touching Across Time,7.9
Nailed It,8.3
Naruto Shippuden the Movie: Blood Prison,6.5
Naruto Shippûden the Movie: Bonds,7.1
Naruto Shippûden the Movie: The Will of Fire,4.8
Naruto Shippuden: The Movie,4.6
Naruto Shippuden: The Movie: The Lost Tower,7.7
Naruto the Movie 2: Legend of the Stone of Gelel,6.6
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,7.1
Naruto the Movie: Ninja Clash in the Land of Snow,8.2
Nightbooks,7.5
Numberblocks,7.0
Raja Rasoi Aur Anya Kahaniyan,7.1
Saved by the Bell,5.7
Schumacher,4.2
Stories by Rabindranath Tagore,6.4
Too Hot To Handle: Latino,5.2
A StoryBots Space Adventure,6.2
Jack Whitehall: Travels with My Father,8.7
King of Boys,5.3
The World's Most Amazing Vacation Rentals,4.3
You vs. Wild: Out Cold,5.5
Yowamushi Pedal,5.6
Little Singham - Black Shadow,7.6
Tughlaq Durbar,7.1
Tughlaq Durbar (Telugu),8.3
Firedrake the Silver Dragon,7.7
Kate,6.2
Lucifer,8.5
Metal Shop Masters,4.9
Omo Ghetto: the Saga,4.1
Pokémon Master Journeys: The Series,4.5
Prey,8.0
Titipo Titipo,6.5
Blood Brothers: Malcolm X & Muhammad Ali,4.9
Mighty Raju,6.8
Paradise Hills,4.8
The Women and the Murderer,7.8
Into the Night,6.5
JJ+E,6.1
Show Dogs,5.7
The Circle,7.5
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,6.0
Kid Cosmic,4.5
Octonauts: Above & Beyond,4.6
On the Verge,9.3
Tobot Galaxy Detectives,9.0
Untold: Breaking Point,7.8
Countdown: Inspiration4 Mission to Space,5.5
Shadow Parties,9.3
Tayo the Little Bus,8.3
Angamaly Diaries,7.9
Bunk'd,6.5
